"","All Paired","All Productive","Productive HC","NO Missing, X","NO Singletons","CDR3 > 2a.a.","Unique"
"HIV-1 IAVI donor 17",3104454,195242,38994,38785,37181,37181,"1557"
"Healthy donor 1",3350792,246298,34480,34202,31800,31800,"1862"
